concept_Id,medical_concept
641,Isolated memory skills
642,Generalised pruritus
643,Swollen nasal mucosa
644,Loss of motivation
645,Toe swelling
646,Loss of hair
647,Right hemiparesis
648,Facial swelling
649,Skin tenderness
650,Ovarian pain
651,Thoracic back pain
652,Low back pain
653,Pain in buttock
654,Lumbar facet joint pain
655,Musculoskeletal pain
656,Chest discomfort
657,Cramping pain
658,Facial palsy
659,Incoordination
660,Musculoskeletal chest pain
661,Viral upper respiratory tract infection
662,Unable to walk
663,Unable to walk up step
664,Difficulty walking up stairs
665,Unable to walk down stairs
666,Unable to balance
667,Unable to run
668,Unable to stand up
669,Unable to lie down
670,Unable to bend down
671,Unable to sit
672,Abrasion of eye region
673,Traumatic blister of mouth
674,Cut of hand
675,Has delayed recall
676,Unable to move all four limbs
677,Unable to move arm
678,Difficulty moving arm
679,Unable to move hand
680,Difficulty moving hand
681,Unable to move leg
682,Unable to make a fist
683,Difficulty gripping
684,Difficulty dressing
685,Spots on skin
686,Pain in toe
687,Strain of calf muscle
688,Tightness in arm
689,Difficulty controlling anger
690,Unable to speak
691,Unable to find words
692,Unable to initiate words
693,Moody
694,Fragile self-esteem
695,Impatient character
696,Pain in left arm
697,Pain in right arm
698,Pain in left leg
699,Myalgia/myositis - multiple
700,Myalgia/myositis - shoulder
701,Myalgia/myositis - upper arm
702,Myalgia/myositis - forearm
703,Myalgia/myositis -pelvis/thigh
704,Myalgia/myositis - lower leg
705,Unable to lift
706,Difficulty lifting
707,Unable to eat
708,Difficulty swallowing
709,Unable to feed self
710,Slurred speech
711,Vaginal bleeding
712,Uterus problem
713,Pain of uterus
714,Menopause present
715,Foot swelling
716,Swollen feet
717,Rib pain
718,Knee joint inflamed
719,Joint laxity
720,Sacroiliac joint stiff
721,Foot joint stiff
722,Tenderness of upper limb
723,Numbness of upper limb
724,Elbow joint swelling
725,Swelling of wrist joint
726,Swelling of hand
727,Weakness of hand
728,Swelling of finger
729,Finger joint locking
730,Swelling of knee joint
731,Knee joint painful on movement
732,Vibration sensation present
733,Tightness sensation
734,Reduction of bulk of muscle
735,Stomach problem
736,Frequent defaecation
737,Gastrointestinal tract problem
738,Difficulty riding a bicycle
739,Swelling of body region
740,Anxiety attack
741,Pain in calf
742,Pain in thumb
743,Low back strain
744,Loss of confidence
745,Nasal sinus problem
746,Difficulty sleeping
747,Unable to get out of a chair
748,Difficulty getting out of a chair
749,Unable to get off a bed
750,Difficulty getting off a bed
751,Right upper quadrant pain
752,Bad taste in mouth
753,Peripheral neuropathy
754,Decreased range of shoulder movement
755,Crying
756,Feeling high
757,Feeling hopeless
758,Transient memory loss
759,Diverticulitis
760,Injury of tendon of the rotator cuff of shoulder
761,Parkinsonian tremor
762,Neurological symptom
763,Digestive symptom
764,Paraesthesia of hand
765,Paraesthesia of foot
766,Calf muscle weakness
767,Cold foot
768,Excessive weight loss
769,Numbness of hand
770,Numbness of finger
771,Numbness of lower limb
772,Numbness of foot
773,Numbness of toe
774,Numbness of face
775,Weakness of limb
776,Emotional upset
777,Mild depression
778,Severe depression
779,Numbness of limbs
780,Feeling tired
781,Intermittent pain
782,Deteriorating renal function
783,Heavy episode of vaginal bleeding
784,Influenza-like symptoms
785,Uncontrollable vomiting
786,Impairment level of vision
787,Irregular heart beat
788,Irregular heart rate
789,Degenerative disorder of muscle
790,Malignant neoplastic disease
791,Malignant tumour of colon
792,Malignant tumour of spleen
793,Depressed mood
794,Malaise
795,Skin irritation
796,Major depressive disorder
797,Arthritis of knee
798,Disorder of eye
799,Coma
800,Large breast
801,Sensation of heaviness in limbs
802,Feels hot
803,Neuropathy
804,Fever
805,Menorrhagia
806,Lightheadedness
807,Mild cognitive disorder
808,Impaired cognition
809,Memory impairment
810,Impairment of balance
811,Cervical arthritis
812,Osteoarthritis
813,Visual impairment
814,Severe visual impairment
815,Erectile dysfunction
816,Gastric ulcer
817,Loose stool
818,Ehlers-Danlos syndrome
819,Decreased muscle tone
820,Poor muscle tone
821,Pale complexion
822,Glossopyrosis
823,Malignant tumour of prostate
824,Adhesive capsulitis of shoulder
825,Swallowing problem
826,Vertigo
827,Arthropathy
828,Fear of falling
829,Foot eczema
830,Dizziness
831,Haematochezia
832,Scab of skin
833,Impending shock
834,Sweating
835,Bunion
836,Rupture of tendon
837,Furuncle
838,Blister
839,Respiratory tract congestion
840,Itching
841,Itching of skin
842,Blackout
843,Allergic reaction
844,Nightmares
845,Propensity to adverse reactions to drug
846,Bizarre dreams
847,Mentally dull
848,Feeling unhappy
849,Watery eye
850,Tunnel vision
851,Tongue swelling
852,Vomiting
853,Nausea
854,Frequent night waking
855,Iliotibial band friction syndrome
856,Easy bruising
857,Feeling nervous
858,Oedema of extremity
859,Stress overload
860,Cramp in limb
861,Pain provoked by movement
862,Tendonitis of foot
863,Pain provoked by rest
864,Constant pain
865,Pain provoked by walking
866,Aphthous ulcer
867,Pain radiating to lumbar region of back
868,Malignant neoplasm of brain
869,Malignant neoplasm of bone
870,Arthropathy of knee joint
871,Ulcer
872,Traumatic injury of skeletal muscle
873,Tendonitis of knee
874,Rupture of Achilles tendon
875,Neuroma of foot
876,Paraesthesia of lower extremity
877,Menstrual cramp
878,Increased creatine kinase level
879,Elevated cholesterol/high density lipoprotein ratio
880,Irritable bowel syndrome characterised by constipation
881,Inflammation of ligament
882,Type II diabetes mellitus uncontrolled
883,Arthritis of shoulder region joint
884,Neuroma
885,Disorder of joint of shoulder region
886,Haemorrhage of abdominal cavity structure
887,Irregular bowel habits
888,Erythema of skin
889,Pain in forearm
890,Burning sensation of vagina
891,White discolouration of skin
892,Raised low density lipoprotein cholesterol
893,Arthritis of hand
894,Swelling of lower limb
895,Swelling of upper limb
896,Cramp in lower limb
897,Cramp in lower leg
898,Severe dehydration
899,Pain in cheek
900,Allergic condition
901,Necrosis of anatomical site
902,Neuropathy of upper limb
903,Neuropathy of lower limb
904,Acid reflux
905,Cardiac arrhythmia
906,Post traumatic osteoarthritis
907,Lumbar arthritis
908,Symptom of ankle
909,Lip swelling
910,Numbness and tingling sensation of skin
911,Daily headache
912,Andrews Tums Antacid
913,Nasonex Aqueous
914,Panadeine
915,Seroquel
916,Naprosyn
917,Enbrel
918,Lasix
919,Voltaren
920,Rhinocort Aqueous
921,Voltaren Emulgel
922,Efexor-XR
923,Lescol
924,Epipen Auto-Injector
925,paracetamol + ibuprofen
926,Stumbling gait
927,magnesium
928,Fosamax
929,Nexium
930,Premarin
931,Tagamet
932,Olmetec
933,Tylenol
934,Prinivil
935,Lexapro
936,Lipex
937,Arthrotec
938,Plavix
939,Xanax
940,Lopid
941,Zoloft
942,Zantac
943,Mobic
944,Ezetrol
945,Atacand
946,Oxycontin
947,Avandia
948,Pravachol
949,Lipitor
950,Zocor
951,Capoten
952,Crestor
953,Lipidil
954,Deseril
955,Celebrex
956,Norvasc
957,Zestril
958,Neurontin
959,Noten
960,Lipitor 20 mg tablet: film-coated
961,Lipitor 40 mg tablet: film-coated
962,Celebrex 200 mg capsule: hard
963,oestradiol
964,simvastatin
965,morphine
966,paracetamol + codeine
967,diclofenac
968,Testosterone
969,testosterone
970,rabeprazole
971,naproxen
972,enalapril
973,amlodipine
974,atorvastatin
975,ramipril
976,fenofibrate
977,paracetamol
978,lisinopril
979,tramadol
980,prednisone
981,misoprostol
982,pseudoephedrine
983,ezetimibe + simvastatin
984,clonidine
985,methylprednisolone
986,pravastatin
987,atenolol
988,gemfibrozil
989,metoprolol
990,omeprazole
991,meloxicam
992,aspirin
993,glipizide
994,cortisone
995,diclofenac + misoprostol
996,hydrochlorothiazide
997,codeine
998,bisoprolol
999,ibuprofen
1000,glibenclamide
1001,ezetimibe
1002,fenofibrate 145 mg tablet
1003,olive oil
1004,potassium
1005,Toprol-XL
1006,Lyrica
1007,pethidine
1008,Cymbalta
1009,dextropropoxyphene + paracetamol
1010,zinc
1011,vitamin A
1012,Cozaar
1013,Solaraze
1014,Voltaren Rapid
1015,Advil
1016,Aleve
1017,Diovan
1018,Voltaren Rapid 25 mg tablet: sugar-coated
1019,codeine + ibuprofen
1020,glucosamine
1021,capsaicin
1022,caffeine
1023,ibuprofen 5% gel
1024,B Complex (Cenovis)
1025,pyridoxine
1026,ubidecarenone
1027,lysine
1028,ascorbic acid
1029,fish oil natural
1030,cyanocobalamin
1031,alpha tocopherol
1032,soy lecithin
1033,Maxalt
1034,melatonin
1035,omega-3-acid ethyl esters-90
